item_id,user_id,year,recommend,sentiment_analysis
1250,76561197970982479,2011,True,2
22200,76561197970982479,2011,True,1
43110,76561197970982479,2011,True,2
251610,js41637,2014,True,2
227300,js41637,2013,True,2
239030,js41637,2013,True,2
248820,evcentric,2014,True,2
370360,evcentric,2015,True,2
237930,evcentric,2014,True,2
263360,evcentric,2014,True,1
107200,evcentric,2014,True,2
224500,evcentric,2014,True,2
250320,doctr,2013,True,2
20920,doctr,2012,True,2
204100,doctr,2012,True,2
224600,doctr,2014,True,2
207610,doctr,2012,True,1
108710,doctr,2012,True,2
211420,maplemage,2014,True,1
211820,maplemage,2013,True,2
730,maplemage,2014,True,2
204300,maplemage,2013,True,2
249130,Wackky,2014,True,1
207610,Wackky,2013,True,1
550,Wackky,2013,True,2
65800,Wackky,2014,True,2
220,Wackky,2013,True,2
730,76561198079601835,2014,True,1
730,MeaTCompany,2014,True,2
72850,76561198089393905,2015,True,1
440,76561198089393905,2014,True,1
252950,76561198156664158,2014,True,2
440,76561198077246154,2014,True,1
304930,76561198077246154,2015,True,1
4000,WeiEDKrSat,2013,True,1
42910,thequeenpanda,2012,True,1
232090,death-hunter,2015,True,2
1250,death-hunter,2015,True,2
4000,death-hunter,2014,True,2
304930,DJKamBer,2014,True,2
570,DJKamBer,2013,True,2
218620,DJKamBer,2015,True,2
224260,DJKamBer,2013,True,2
1250,DJKamBer,2013,True,1
440,DJKamBer,2012,True,2
730,Rainbow-Dashie,2015,True,2
440,Rainbow-Dashie,2014,True,2
49520,Rainbow-Dashie,2014,True,1
33440,76561198043472122,2014,False,1
220200,MarbleShrine,2015,True,2
211820,PPanther,2014,True,2
440,devvonst,2014,True,2
218740,devvonst,2014,True,2
550,devvonst,2015,True,2
220,Fr0stedLine,2014,True,2
238090,starkillershadow553,2015,True,1
242130,starkillershadow553,2014,True,1
277430,starkillershadow553,2014,True,2
8870,76561198058373434,2015,True,2
368230,76561198048353577,2015,True,1
4000,76561198048353577,2014,True,2
33930,76561198048353577,2013,True,2
359320,76561198066046412,2015,False,1
219640,76561198066046412,2015,True,2
287980,tru_mu_,2015,True,2
218620,76561198070565427,2014,True,1
208090,76561198070565427,2015,True,2
242700,76561198070565427,2014,True,1
570,76561198070565427,2014,False,1
224260,76561198070565427,2014,True,1
221100,SavageEeEe,2015,True,2
570,76561198076909484,2014,True,2
331470,KanadeTheNeko,2014,True,2
4000,KanadeTheNeko,2014,True,2
323370,Leaf_Light_Moscow,2014,True,2
304930,GoAwayZach,2014,True,2
12210,76561198054540475,2015,True,1
265210,76561198054540475,2014,True,1
48700,76561198054540475,2014,True,2
238460,76561198085547365,2014,True,2
34900,76561198085547365,2014,True,2
730,76561198061252210,2015,True,2
113200,OfficialShroomsy,2013,True,2
440,boydeer,2014,True,1
383080,boydeer,2015,False,1
213670,VVillis,2015,True,1
105600,76561198083226897,2015,True,1
730,76561198075277292,2015,True,1
570,76561198075277292,2015,True,2
231180,76561198028895010,2013,True,2
620,76561198028895010,2012,True,2
271290,76561198170198366,2014,True,2
4000,diego9031,2014,True,1
317360,diego9031,2014,True,1
223710,diego9031,2015,True,1
299360,diego9031,2015,True,1
322330,diego9031,2015,True,1
1250,diego9031,2015,True,1
12100,diego9031,2015,True,1
204360,diego9031,2015,True,2
440,diego9031,2013,True,1
224260,diego9031,2013,True,2
440,jarrodtrim,2012,True,2
304930,76561198078738103,2014,True,2
440,76561198067936203,2015,True,2
1840,76561198079770573,2015,True,1
440,76561198087586464,2013,True,2
440,Derp-e,2015,True,2
233250,76561198070194565,2014,True,1
449140,76561198070194565,2014,True,1
368730,76561198070194565,2014,True,1
246280,76561198070194565,2014,True,1
427270,76561198070194565,2014,True,2
397100,76561198070194565,2014,True,1
248570,76561198070194565,2015,True,1
298630,Rivtex,2015,True,1
244210,UTNerd24,2014,True,2
440,UTNerd24,2015,True,1
376920,UTNerd24,2015,True,2
257750,UTNerd24,2015,True,2
221910,UTNerd24,2014,True,1
2280,UTNerd24,2013,True,1
417860,sandwiches1,2015,False,1
218620,76561198138053270,2014,True,2
218620,lucaswerg,2014,True,2
222880,lucaswerg,2014,True,1
377160,Life-Of-Blu,2015,True,2
211820,Life-Of-Blu,2013,True,2
252490,CaptianAutismo,2015,True,1
440,76561198075895633,2014,True,2
242920,TheDropix101,2014,True,2
251990,kube134,2014,True,2
344760,iamthekingofbrowntown,2015,False,1
252950,iamthekingofbrowntown,2015,True,1
236430,iamthekingofbrowntown,2014,True,2
399730,iamthekingofbrowntown,2015,True,2
550,MainScout,2014,True,1
377160,yookobz,2015,True,2
219150,yookobz,2014,True,2
277430,Posiblydead,2014,True,2
239820,Posiblydead,2014,True,2
17410,Posiblydead,2013,True,2
440,Mossy_Gaming,2015,True,2
270550,76561198102421718,2015,True,2
274940,76561198102421718,2015,True,2
333930,76561198102421718,2015,True,1
440,76561198087407319,2014,True,1
730,76561198056741844,2014,True,1
294100,sad-commie,2014,True,1
212070,sad-commie,2014,True,1
264140,sad-commie,2014,True,1
332800,76561198030567998,2014,True,1
319630,76561198030567998,2015,True,2
6020,76561198030567998,2015,True,1
55230,76561198030567998,2015,True,2
32430,76561198030567998,2014,True,2
377160,76561198010674657,2014,False,2
440,76561198010674657,2014,True,1
35450,Coldaniel,2015,True,2
440,Coldaniel,2014,True,1
236390,Coldaniel,2015,True,2
351570,therealmorty,2015,True,2
212680,therealmorty,2015,True,1
391540,Berserklejerker,2015,True,2
550,76561198061730629,2014,True,1
440,YoHuNz,2014,True,1
570,YoHuNz,2014,True,1
72850,possessioniskey,2015,True,2
440,possessioniskey,2015,True,2
113400,possessioniskey,2014,True,2
440,76561198093112529,2014,True,1
200510,76561198060447950,2015,True,2
730,whiteofwolfing,2015,True,2
383080,sergarino,2015,True,2
200210,76561198081962345,2014,True,1
1250,76561198081962345,2014,True,1
304050,76561198073210139,2014,True,2
265610,Nozomikat,2015,True,2
264200,Nozomikat,2014,True,1
417860,Nozomikat,2015,True,1
333600,Nozomikat,2015,True,2
213670,Nozomikat,2014,True,2
91310,Nozomikat,2013,True,2
437220,Nozomikat,2014,False,1
210770,Nozomikat,2013,True,2
351640,xfluttersx,2015,True,2
202530,xfluttersx,2014,False,2
105600,xfluttersx,2012,True,2
440,xfluttersx,2014,True,2
47870,xfluttersx,2013,True,2
383080,xfluttersx,2015,True,2
410,xfluttersx,2012,True,2
730,76561198056290589,2014,True,2
253710,ii_voltage_ii,2014,False,2
339280,ii_voltage_ii,2015,True,2
271290,ii_voltage_ii,2014,True,2
203290,ii_voltage_ii,2015,True,2
440,76561198097762318,2015,True,2
233150,76561198097762318,2014,True,1
550,Hirukaz,2013,True,1
730,StelerForYou,2015,True,2
211820,StelerForYou,2013,True,2
440,76561198183396245,2015,True,2
346330,Xx-Woods,2014,False,1
224260,Xx-Woods,2015,True,2
317360,Xx-Woods,2014,True,1
295550,Xx-Woods,2014,True,1
250180,Xx-Woods,2014,True,1
227940,Xx-Woods,2014,True,1
17520,Xx-Woods,2014,True,1
113420,Xx-Woods,2014,True,1
320760,kevinator23,2015,True,1
8850,kevinator23,2015,True,2
233720,kevinator23,2014,True,2
218620,kevinator23,2015,True,2
730,kevinator23,2015,True,2
219740,kevinator23,2015,True,2
220240,kevinator23,2014,True,2
440,kevinator23,2014,True,2
4000,76561198090715178,2014,True,2
304930,76561198090715178,2014,True,2
333950,CatsWhale,2015,True,2
388520,CatsWhale,2015,True,2
107410,CatsWhale,2014,True,2
206210,CatsWhale,2014,True,2
221100,76561198073784601,2015,True,2
299740,76561198073784601,2014,False,1
730,mimimomoma,2015,True,2
440,76561198102410011,2015,True,1
209870,de_Butl3r,2014,True,2
322170,76561198027947401,2014,True,2
304050,76561198027947401,2014,True,2
440,Bluezap1,2015,True,1
730,Bluezap1,2015,True,2
362890,Bluezap1,2015,True,2
413850,Bluezap1,2015,True,1
730,76561198074200011,2015,True,2
346110,jonasdbomb,2014,True,2
570,L1J1N,2014,True,2
311560,Lord_Exploit,2015,True,2
322170,Lord_Exploit,2015,True,2
48240,AVATAR715,2014,False,1
440,AVATAR715,2015,True,2
248570,AVATAR715,2014,True,1
264140,AVATAR715,2014,True,2
4000,AVATAR715,2014,True,2
266430,AVATAR715,2015,True,2
316010,AVATAR715,2015,True,2
249570,AVATAR715,2014,True,2
730,YieuwMage,2014,True,2
240,76561198078752187,2014,True,1
304930,A-Very-Sly-Person,2015,True,1
440,A-Very-Sly-Person,2014,True,2
730,76561198211054671,2014,True,1
333930,76561198211054671,2014,True,1
365590,76561197994493402,2014,True,2
264200,76561197994493402,2015,True,2
440,76561197994493402,2014,True,2
298050,Koolcaz12,2014,False,2
383080,76561198065656175,2015,True,2
440,76561198188979775,2014,True,2
301520,97396295,2014,True,2
243870,97396295,2014,True,2
218230,97396295,2014,False,1
291550,97396295,2014,False,1
251570,76561198126640317,2015,True,2
221100,76561198126640317,2015,True,2
316010,76561198126640317,2015,True,2
218230,76561198126640317,2015,True,1
333930,76561198126640317,2015,True,2
222880,76561198126640317,2015,True,2
730,76561198126640317,2015,True,2
55230,DemonicWolvz,2015,True,2
232090,DemonicWolvz,2015,True,2
4000,DemonicWolvz,2015,True,1
206420,DemonicWolvz,2014,True,1
224260,DemonicWolvz,2014,True,2
550,DemonicWolvz,2013,True,2
346110,DieMadchenschanderin,2015,True,2
380770,DieMadchenschanderin,2015,False,1
454890,DieMadchenschanderin,2014,True,1
227680,DieMadchenschanderin,2015,False,2
570,GGargula,2014,False,1
233250,GGargula,2015,True,1
273350,Myther43,2014,True,2
730,getf0kinn0sc0pedm9,2015,True,1
440,getf0kinn0sc0pedm9,2013,False,1
730,76561198141443390,2015,True,2
570,76561198097333029,2014,True,1
730,whodafuqisthisguilao,2015,True,2
370480,Magjiikal,2015,True,2
313740,Magjiikal,2015,True,2
1840,ohnospaghet,2014,True,1
440,ohnospaghet,2014,True,1
266210,ohnospaghet,2015,True,2
369200,ohnospaghet,2014,True,1
252490,ohnospaghet,2014,False,1
264200,ohnospaghet,2015,True,2
292030,76561198050347115,2014,True,1
287700,2768820078,2015,True,1
730,2768820078,2014,False,1
310950,2768820078,2013,True,1
377160,2768820078,2015,True,1
221380,2768820078,2015,True,1
333950,2768820078,2015,True,1
222420,2768820078,2015,False,1
271590,2768820078,2015,True,1
298110,2768820078,2015,True,1
222440,2768820078,2015,True,1
259530,76561198056392326,2014,True,1
219640,76561198056392326,2014,False,1
